product,category,view
staff8,cat1,8000
staff8,cat1,8000
staff8,cat1,8000
staff8,cat1,8000
staff8,cat1,8000
staff8,cat1,8000
staff8,cat1,8000
staff8,cat1,8000
staff2,cat2(update),200000
staff2,cat2(update),200000
staff2,cat2(update),200000
staff2,cat2(update),200000
staff5,cat3,5000000
staff2,cat2(update),200000
staff2,cat2(update),200000
staff2,cat2(update),200000
staff5,cat3,200000
staff2,cat2(update),200000
staff5,cat3,200000
staff2,cat2(update),200000
staff5,cat3,200000
staff2,cat2(update),200000
staff2,cat2(update),200000
staff2,cat2(update),200000
staff2,cat2(update),200000
staff2,cat2(update),200000
staff2,cat2(update),200000
staff2,cat2(update2),200000
